ad_name,Creative_Score,Spend,impressions,frequency,CTR_Decimal,Outbound_Clicks,CPA,ROAS_Purchase,CVR_Decimal,ThruPlay_Decimal,creative_link
DYNCAR - ALL PROD - AUS,100.0,1179.95,95574,2.54667057,0.0732521397,6021.0,3.0255128205128208,51.52533582,0.06477329347284504,0.0,https://www.facebook.com/?feed_demo_ad=120212856995280758&h=AQDgCCoF1uxyp1we6eM
DYNCAR - ALL PROD - AUS - Frame Returns,94.53058245495416,153.99,9082,1.95102041,0.0415106805,241.0,3.4997727272727275,55.93207351,0.1825726141078838,0.0,https://www.facebook.com/?feed_demo_ad=120235058863150758&h=AQDqmReqJQSnLyYw9MU&force_product_ids=3067823676675179%2C3499507163507843%2C3565530890238879%2C3940388229395297%2C4087940241310502
DYNCAR - ALL PROD - AUS - Frame Shipping,89.24936286309195,1024.19,67931,4.6404126,0.0320177828,1768.0,2.9859766763848397,57.95195227,0.19400452488687783,0.0,https://www.facebook.com/?feed_demo_ad=120235056863320758&h=AQC2pCW8HjvIlwNPXXQ&force_product_ids=3067823676675179%2C3499507163507843%2C3565530890238879%2C3940388229395297%2C4087940241310502
DYNCAR - ALL PROD - AUS - Frame Refunds,86.43980959383015,286.83,21147,2.58236659,0.0313046768,550.0,2.8682999999999996,57.73398877,0.18181818181818182,0.0,https://www.facebook.com/?feed_demo_ad=120235058828030758&h=AQBZTK4xOn0uGiwaRbY&force_product_ids=3067823676675179%2C3499507163507843%2C3565530890238879%2C3940388229395297%2C4087940241310502
DCAR1 - All products - AUS,73.74865611846872,679.13,21896,2.20570162,0.0717482645,1458.0,12.12732142857143,11.33055527,0.038408779149519894,0.015071245889660212,https://www.facebook.com/?feed_demo_ad=120229991184690758&h=AQAqTUFJcmyHCfZZhAI&force_product_ids=3067823676675179%2C3499507163507843%2C3565530890238879%2C3940388229395297%2C4087940241310502
EPV5 - @jess_kahler - Dresses - AUS - 02.09.25,63.68719054348714,222.35,10693,1.5459014,0.0431123165,301.0,9.667391304347825,20.44479424,0.07641196013289037,0.04872346394837744,https://www.facebook.com/?feed_demo_ad=120233265575740758&h=AQCreAnXfVclZVrHEcg
V1 - Sienna Partnership  - Evening,60.05993325121024,88.97,12512,1.37434095,0.0045556266,28.0,11.12125,16.60267506,0.2857142857142857,0.01942135549872123,https://www.facebook.com/?feed_demo_ad=120233636011210758&h=AQDMQwErBL0q0Hrb-Xo
EPV3 - @justanothermannequin - Melanie Halter Neck Maxi Dress - Cream - AUS - 02.09.25,57.93624154530301,77.37,3030,1.42120075,0.0330033003,77.0,12.895000000000001,15.37236655,0.07792207792207792,0.10132013201320132,https://www.facebook.com/?feed_demo_ad=120233265575780758&h=AQAIszcceBdb6SQ4zwI
EPV6 - @amytowne - Back In Stock - AUS - 02.09.25,56.28846671754106,77.34,1913,1.3509887,0.0324098275,43.0,25.78,7.13279028,0.06976744186046512,0.14584422373235756,https://www.facebook.com/?feed_demo_ad=120233265575730758&h=AQCeF7a4aSdvmLkIsKU
DYNCAR - All Prods - AUS - 14.10.25,47.34539561419876,822.64,61522,2.7854394,0.0489093332,2745.0,22.233513513513515,8.50667364,0.01347905282331512,0.009541302298364812,https://www.facebook.com/?feed_demo_ad=120235633973310758&h=AQANzna-IOr28bSo3hw
EPV1 - @eileencassidy_ - Cierra Midi Dress - White - Exisiting Posts - AUS - 01.04.25,45.17238256098881,111.22,3920,1.48204159,0.0375,121.0,18.536666666666665,7.36809926,0.049586776859504134,0.031377551020408165,https://www.facebook.com/?feed_demo_ad=120219840781250758&h=AQBXER0r0U9Clenn1hA
V1 - Yana Partnership - Margo,42.7408226200586,99.45,9459,1.39041599,0.0096204673,69.0,9.040909090909091,14.82936149,0.15942028985507245,0.025055502695845226,https://www.facebook.com/?feed_demo_ad=120233636374060758&h=AQAZZ5fCHaL1L5givyQ
DYNCAR - All Prods - AUS - 05.08.25,42.22249455192934,6996.31,330686,2.21862462,0.0459952946,14490.0,30.28705627705628,4.94027423,0.015942028985507246,3.024016740956678e-06,https://www.facebook.com/?feed_demo_ad=120234909082360758&h=AQAMirR7AQ9UCPAQ-cA
V1 - Paris Partnership - Dresses,42.05814671863936,378.47,29149,1.69087534,0.0110809976,229.0,10.513055555555557,15.5207282,0.1572052401746725,0.006724072866993722,https://www.facebook.com/?feed_demo_ad=120235625852650758&h=AQDYbEE7KYqISM8DH84
DYNCOL1 - Bridesmaid Dresses - Dusty Pink - AUS - 17.09.24,40.091797652930474,314.12,20050,2.29011993,0.0124688279,100.0,19.6325,10.17872151,0.16,0.0,https://www.facebook.com/?feed_demo_ad=120233779758790758&h=AQBRyiOqIMFIRyNbCIA
EPV1 - @dekota_thompson - Chiara Maxi Dress - Yellow - AUS - 23.09.25 – Copy,28.388548283725555,184.92,13913,1.2956789,0.016746927300000002,124.0,20.546666666666667,5.5431538,0.07258064516129033,0.01768130525407892,https://www.facebook.com/?feed_demo_ad=120234546450430758&h=AQAAMVr6eU38VVG2CR4
EPV1 - @bynicolevoz - Bridesmaid Dresses and Gowns - AUS -  14.10.25 – Copy,27.862738088141516,66.67,5527,1.38556029,0.0137506785,54.0,33.335,7.97660117,0.037037037037037035,0.08087570110367288,https://www.facebook.com/?feed_demo_ad=120235697641920758&h=AQDTVKyxusfITL32AGU
DYNCAR1 - Yellow Dresses - UK - 10.09.25,27.22381324144647,311.76,18153,2.46577017,0.029141188800000002,410.0,62.352,5.70701822,0.012195121951219513,0.0,https://www.facebook.com/?feed_demo_ad=120233790642970758&h=AQD6UOqDjMWsMKcTamA
V1 - Partnership - @chlobellexx - Maternity Dress - AUS,23.144283331389953,311.91,30056,1.67639021,0.014007186599999999,293.0,34.656666666666666,5.88817287,0.030716723549488054,0.05549640670747937,https://www.facebook.com/?feed_demo_ad=120235479154160758&h=AQAmN9hl0oU5lGCiTSU
V3- Polka Dot Trend - Arrivals - AUS - 08.10.25,22.938130432082694,1026.31,80223,1.30905798,0.0169652095,750.0,35.39,4.01124417,0.03866666666666667,0.02647619759919225,https://www.facebook.com/?feed_demo_ad=120235410760240758&h=AQCaZ8Lb9tQHhz0opek
V7 - Partnership - @Bellarychter - AUS - 01.10.25,22.22270612407097,119.45,10401,1.44018277,0.0116334968,101.0,19.908333333333335,4.08338217,0.0594059405940594,0.03028554946639746,https://www.facebook.com/?feed_demo_ad=120235479154040758&h=AQDNrWsF-3nc-IyoDac
EPV2 - @dekota_thompson - Tiarna Off The Shoulder Maxi Dress - Yellow - AUS - 16.09.25 – Copy,21.86935643881779,1142.81,100740,1.56781573,0.0143438555,784.0,28.570249999999998,4.92451064,0.05102040816326531,0.013778042485606512,https://www.facebook.com/?feed_demo_ad=120234162327840758&h=AQC60AOuLF8a7Tzxtmc
V3- Polka Dot Trend - Arrivals - AUS - 08.10.25 - Copy,20.834028992886182,154.14,9472,1.16894977,0.020059121599999997,112.0,77.07,1.32282341,0.017857142857142856,0.028188344594594593,https://www.facebook.com/?feed_demo_ad=120235410888040758&h=AQCxd9CKtVeHk61yWr4
DYNS1 - Freya Maxi Dress - Black - AUS - 21.08.25,20.79755728859176,213.3,46258,1.6485976,0.00183752,67.0,26.6625,4.40436006,0.11940298507462686,0.0007566258809287043,https://www.facebook.com/?feed_demo_ad=120233321624670758&h=AQBYGbdKCX-rnNSpmoU
EPV3 - @rosalieburns - Halen Off Shoulder Mini Dress - Black - AUS - 09.10.25 – Copy,20.464176248387332,188.8,11208,1.33890814,0.017309065,116.0,62.93333333333334,2.29237288,0.02586206896551724,0.029621698786581014,https://www.facebook.com/?feed_demo_ad=120235482283890758&h=AQDXkmor7955jjDkZL0
V1 - Celine Partnership - Polka Dots,20.143807344219763,258.62,26361,1.77826498,0.0115701225,230.0,23.51090909090909,6.59078958,0.04782608695652174,0.016880998444672054,https://www.facebook.com/?feed_demo_ad=120235479154030758&h=AQDSBFupTbROAf56zOg
