ad_name,Creative_Score,Spend,impressions,frequency,CTR_Decimal,Outbound_Clicks,CPA,ROAS_Purchase,CVR_Decimal,ThruPlay_Decimal,creative_link,format,setting,dominant_color,hook,emotion
DYNCAR - ALL PROD - AUS,100.0,1179.95,95574,2.54667057,0.0732521397,6021.0,3.0255128205128208,51.52533582,0.064773293472845,0.0,https://www.facebook.com/?feed_demo_ad=120212856995280758&h=AQDgCCoF1uxyp1we6eM,Studio Shoot,Product Demo,Cool Blue/Green,Fast-paced editing,Calm/Luxurious
DYNCAR - ALL PROD - AUS - Frame Returns,94.53058245495416,153.99,9082,1.95102041,0.0415106805,241.0,3.4997727272727275,55.93207351,0.1825726141078838,0.0,https://www.facebook.com/?feed_demo_ad=120235058863150758&h=AQDqmReqJQSnLyYw9MU&force_product_ids=3067823676675179%2C3499507163507843%2C3565530890238879%2C3940388229395297%2C4087940241310502,Carousel,Product Demo,Cool Blue/Green,Fast-paced editing,Calm/Luxurious
DYNCAR - ALL PROD - AUS - Frame Shipping,89.24936286309195,1024.19,67931,4.6404126,0.0320177828,1768.0,2.9859766763848397,57.95195227,0.1940045248868778,0.0,https://www.facebook.com/?feed_demo_ad=120235056863320758&h=AQC2pCW8HjvIlwNPXXQ&force_product_ids=3067823676675179%2C3499507163507843%2C3565530890238879%2C3940388229395297%2C4087940241310502,Studio Shoot,Outdoor Lifestyle,Muted Earth Tones,Fast-paced editing,Calm/Luxurious
DYNCAR - ALL PROD - AUS - Frame Refunds,86.43980959383015,286.83,21147,2.58236659,0.0313046768,550.0,2.8682999999999996,57.73398877,0.1818181818181818,0.0,https://www.facebook.com/?feed_demo_ad=120235058828030758&h=AQBZTK4xOn0uGiwaRbY&force_product_ids=3067823676675179%2C3499507163507843%2C3565530890238879%2C3940388229395297%2C4087940241310502,Studio Shoot,Outdoor Lifestyle,Vibrant Pink/Red,Fast-paced editing,Excitement/Urgency
DCAR1 - All products - AUS,73.74865611846872,679.13,21896,2.20570162,0.0717482645,1458.0,12.12732142857143,11.33055527,0.0384087791495198,0.0150712458896602,https://www.facebook.com/?feed_demo_ad=120229991184690758&h=AQAqTUFJcmyHCfZZhAI&force_product_ids=3067823676675179%2C3499507163507843%2C3565530890238879%2C3940388229395297%2C4087940241310502,Static Image,Outdoor Lifestyle,Cool Blue/Green,Standard Product Showcase,Informative
EPV5 - @jess_kahler - Dresses - AUS - 02.09.25,63.68719054348714,222.35,10693,1.5459014,0.0431123165,301.0,9.667391304347824,20.44479424,0.0764119601328903,0.0487234639483774,https://www.facebook.com/?feed_demo_ad=120233265575740758&h=AQCreAnXfVclZVrHEcg,Studio Shoot,Text Overlay Only,Vibrant Pink/Red,Standard Product Showcase,Informative
V1 - Sienna Partnership  - Evening,60.05993325121024,88.97,12512,1.37434095,0.0045556266,28.0,11.12125,16.60267506,0.2857142857142857,0.0194213554987212,https://www.facebook.com/?feed_demo_ad=120233636011210758&h=AQDMQwErBL0q0Hrb-Xo,Carousel,Outdoor Lifestyle,Muted Earth Tones,Standard Product Showcase,Pleasant
EPV3 - @justanothermannequin - Melanie Halter Neck Maxi Dress - Cream - AUS - 02.09.25,57.93624154530301,77.37,3030,1.42120075,0.0330033003,77.0,12.895,15.37236655,0.0779220779220779,0.1013201320132013,https://www.facebook.com/?feed_demo_ad=120233265575780758&h=AQAIszcceBdb6SQ4zwI,UGC-Style Video,Outdoor Lifestyle,Black/White,Standard Product Showcase,Pleasant
EPV6 - @amytowne - Back In Stock - AUS - 02.09.25,56.28846671754106,77.34,1913,1.3509887,0.0324098275,43.0,25.78,7.13279028,0.0697674418604651,0.1458442237323575,https://www.facebook.com/?feed_demo_ad=120233265575730758&h=AQCeF7a4aSdvmLkIsKU,Studio Shoot,Text Overlay Only,Muted Earth Tones,Medium-paced edit,Pleasant
DYNCAR - All Prods - AUS - 14.10.25,47.34539561419876,822.64,61522,2.7854394,0.0489093332,2745.0,22.233513513513515,8.50667364,0.0134790528233151,0.0095413022983648,https://www.facebook.com/?feed_demo_ad=120235633973310758&h=AQANzna-IOr28bSo3hw,Studio Shoot,Text Overlay Only,Vibrant Pink/Red,Medium-paced edit,Informative
