Ads,Ad name,Quality ranking,Engagement rate ranking,Conversion rate ranking,Amount spent (AUD),Result Type,Cost per result,Impressions,Reach,Frequency,Clicks (all),CTR (all),Outbound clicks,Purchases,Purchase ROAS (return on ad spend),Video plays at 95%,Preview link,Reporting starts,Reporting ends
DPA - Top Search Terms - Wedding Guest Dresses - AUS - 21.7.25,DPA - Top Search Terms - Wedding Guest Dresses - AUS - 21.7.25,Average,Above average,Above average,13090.09,Website purchases,38.95860119,671297,239112,2.80745843,18877,2.81201912,17088,336,3.74650136,,https://www.facebook.com/?feed_demo_ad=120230252936430758&h=AQCI0QtfjeEK7oqvw7w,17/10/2025,23/10/2025
Shopify Dynamic Facebook Ads Product Set - Sales,Shopify Dynamic Facebook Ads Product Set - Sales,Average,Above average,Above average,12180,Website purchases,15.28230866,546994,110768,4.93819515,32636,5.96642742,26787,797,9.7146289,5463,https://www.facebook.com/?feed_demo_ad=120234510752150758&h=AQCw_RksHkfZ3-ArrKo&force_product_ids=3067823676675179%2C3499507163507843%2C3565530890238879%2C3940388229395297%2C4087940241310502,17/10/2025,23/10/2025
DPA - Single - All In Stock - AUS - 19.08.25,DPA - Single - All In Stock - AUS - 19.08.25,Average,Above average,Above average,7657.62,Website purchases,23.34640244,562448,240132,2.3422451,11252,2.00054049,8423,328,6.44402569,16417,https://www.facebook.com/?feed_demo_ad=120234909082380758&h=AQDErpm_xkEgBPhm2w8,17/10/2025,23/10/2025
DYNCAR - All Prods - AUS - 05.08.25,DYNCAR - All Prods - AUS - 05.08.25,Average,Above average,Above average,6996.31,Website purchases,30.28705628,330686,149050,2.21862462,15210,4.59952946,14490,231,4.94027423,1,https://www.facebook.com/?feed_demo_ad=120234909082360758&h=AQAMirR7AQ9UCPAQ-cA,17/10/2025,23/10/2025
DYNCAR - All Prods - Frame 1 - AUS - 05.08.25 – Copy,DYNCAR - All Prods - Frame 1 - AUS - 05.08.25 – Copy,Average,Above average,Above average,5300.06,Website purchases,26.90385787,311903,141014,2.2118584,12619,4.04580911,8899,197,5.39666532,,https://www.facebook.com/?feed_demo_ad=120235071038220758&h=AQCgSqmU6NJsvDOYAVI,17/10/2025,23/10/2025
DYNCAR1 - Long Lunch Edit - AUS - 26.03.25,DYNCAR1 - Long Lunch Edit - AUS - 26.03.25,Average,Above average,Above average,3618.74,Website purchases,50.96816901,144172,70897,2.03354162,5346,3.70807092,4792,71,2.62486114,,https://www.facebook.com/?feed_demo_ad=120214293224180758&h=AQDbE3Yt1l0S92cR35Q,17/10/2025,23/10/2025
DYNCAR - ALL PROD - AUS,DYNCAR - ALL PROD - AUS,Above average,Above average,Above average,3197.85,Website purchases,3.90935208,180902,47498,3.80862352,13111,7.24757051,10882,818,38.46356458,,https://www.facebook.com/?feed_demo_ad=120234552345730758&h=AQD1Xj_5Yy7l679K6uU,17/10/2025,23/10/2025
C1 - DPA - Olive Evening Dresses - AUS - 21.7.25,C1 - DPA - Olive Evening Dresses - AUS - 21.7.25,Average,Average,Average,2968.73,Website purchases,29.10519608,162656,53736,3.02694655,2112,1.2984458,1734,102,6.15247934,,https://www.facebook.com/?feed_demo_ad=120233779834940758&h=AQC5ilzIwoNpN9KcZUI,17/10/2025,23/10/2025
DPA - $10 off - AUS,DPA - $10 off - AUS,Above average,Above average,Above average,2815.05,Website purchases,18.1616129,153764,54848,2.80345683,8467,5.50649047,7377,155,7.92043836,,https://www.facebook.com/?feed_demo_ad=120217207396170758&h=AQAfIPrHHhGrA5RVNvs&force_product_ids=3067823676675179%2C3499507163507843%2C3565530890238879%2C3940388229395297%2C4087940241310502,17/10/2025,23/10/2025
DYNCOL3 - Green - Bridesmaids - AUS - 05.03.24 – Copy,DYNCOL3 - Green - Bridesmaids - AUS - 05.03.24 – Copy,Average,Above average,Average,2483.11,Website purchases,63.66948718,293294,137114,2.13905218,2780,0.94785437,1133,39,3.22562835,,https://www.facebook.com/?feed_demo_ad=120233901364650758&h=AQCc3B_bObVqYnzvZ6k,17/10/2025,23/10/2025
DYNCAR - Gigi Maxi - AUS - 19.08.25,DYNCAR - Gigi Maxi - AUS - 19.08.25,Below average – bottom 35% of ads,Above average,Average,2437.97,Website purchases,39.96672131,417758,90090,4.63711844,4382,1.04893264,3960,61,3.88257034,,https://www.facebook.com/?feed_demo_ad=120233321624560758&h=AQDJaQT0ibmP2XzBMko,17/10/2025,23/10/2025
V2 - Polka Dot Trend - Arrivals - AUS - 08.10.25,V2 - Polka Dot Trend - Arrivals - AUS - 08.10.25,Average,Average,Average,2050.82,Website purchases,62.14606061,92034,60572,1.51941491,2101,2.28285199,1549,33,2.83924967,5796,https://www.facebook.com/?feed_demo_ad=120235410726030758&h=AQBMgWYaDRNtBIn3jEE,17/10/2025,23/10/2025
DYNCAR - All Prods - Frame 2 - AUS - 05.08.25 – Copy,DYNCAR - All Prods - Frame 2 - AUS - 05.08.25 – Copy,Average,Above average,Above average,1927.05,Website purchases,27.92826087,119568,81144,1.47352854,4497,3.76103974,3315,69,5.17350873,,https://www.facebook.com/?feed_demo_ad=120235071038210758&h=AQAb13zH8MTHdL37Aw8,17/10/2025,23/10/2025
C1- Rochelle Partnership - Event Ready,C1- Rochelle Partnership - Event Ready,Average,Above average,Average,1911.19,Website purchases,27.6984058,272467,123001,2.21516085,3005,1.10288585,2031,69,5.36982718,1065,https://www.facebook.com/?feed_demo_ad=120234274376440758&h=AQDGDo7ywoSRmL2j0UU,17/10/2025,23/10/2025
DPA - Single - All In Stock - AUS - 19.08.25,DPA - Single - All In Stock - AUS - 19.08.25,Average,Above average,Above average,1744.35,Website purchases,24.56830986,98968,43960,2.25131938,2437,2.46241209,1899,71,5.93586723,3400,https://www.facebook.com/?feed_demo_ad=120232958993280758&h=AQBM83v_6pMrdFAfKmU,17/10/2025,23/10/2025
EPV2 - @jordannamorandin - Back In Stock - AUS - 09.10.25 – Copy,EPV2 - @jordannamorandin - Back In Stock - AUS - 09.10.25 – Copy,Average,Above average,Average,1528.84,Website purchases,37.28878049,96069,70542,1.36186952,3120,3.24766574,2391,41,4.77083279,2490,https://www.facebook.com/?feed_demo_ad=120235482283900758&h=AQBoRGkLtpj6OajunNc,17/10/2025,23/10/2025
DPA - Prospecting - All prod - NZ,DPA - Prospecting - All prod - NZ,Above average,Above average,Above average,1479.91,Website purchases,14.7991,102536,20708,4.95151632,4957,4.83439963,4714,100,10.80377185,,https://www.facebook.com/?feed_demo_ad=120206349174560758&h=AQCKrQu58_WOX8RWDJo&force_product_ids=3067823676675179%2C3499507163507843%2C3565530890238879%2C3940388229395297%2C4087940241310502,17/10/2025,23/10/2025
DYNCAR1 - Sku Data - AUS,DYNCAR1 - Sku Data - AUS,Average,Above average,Above average,1410.32,Website purchases,22.38603175,61447,23127,2.65693778,2251,3.66331961,1952,63,6.46863832,879,https://www.facebook.com/?feed_demo_ad=120235688038940758&h=AQCY2yLmxG6b_kh84bE,17/10/2025,23/10/2025
DYNCAR - ALL PROD - AUS,DYNCAR - ALL PROD - AUS,Average,Above average,Above average,1326.37,Website purchases,16.37493827,46012,18157,2.53411907,2785,6.05276884,2354,81,10.33474822,,https://www.facebook.com/?feed_demo_ad=120217207396410758&h=AQDv9cQmgqyb9kKhnT0&force_product_ids=3067823676675179%2C3499507163507843%2C3565530890238879%2C3940388229395297%2C4087940241310502,17/10/2025,23/10/2025
DPA - Single - All In Stock - AUS - 14.10.25,DPA - Single - All In Stock - AUS - 14.10.25,Average,Above average,Above average,1270.44,Website purchases,20.16571429,115541,35031,3.29825012,2714,2.34894972,1968,63,7.92572652,3433,https://www.facebook.com/?feed_demo_ad=120235633973320758&h=AQCTwDBI8Rpm6Jts7TU,17/10/2025,23/10/2025
EP3 - @sophiebatzloff - Baxter Pant - White Lace - AUS - 14.10.25 – Copy,EP3 - @sophiebatzloff - Baxter Pant - White Lace - AUS - 14.10.25 – Copy,Average,Average,Average,1190.58,Website purchases,38.40580645,79761,45723,1.74443934,769,0.96413034,625,31,3.60580557,,https://www.facebook.com/?feed_demo_ad=120235697641940758&h=AQDJRw8pgjLhH9jzj3k,17/10/2025,23/10/2025
DYNCAR - ALL PROD - AUS,DYNCAR - ALL PROD - AUS,Above average,Above average,Above average,1179.95,Website purchases,3.02551282,95574,37529,2.54667057,7001,7.32521397,6021,390,51.52533582,,https://www.facebook.com/?feed_demo_ad=120212856995280758&h=AQDgCCoF1uxyp1we6eM,17/10/2025,23/10/2025
EPV2 - @dekota_thompson - Tiarna Off The Shoulder Maxi Dress - Yellow - AUS - 16.09.25 – Copy,EPV2 - @dekota_thompson - Tiarna Off The Shoulder Maxi Dress - Yellow - AUS - 16.09.25 – Copy,Above average,Above average,Average,1142.81,Website purchases,28.57025,100740,64255,1.56781573,1445,1.43438555,784,40,4.92451064,1388,https://www.facebook.com/?feed_demo_ad=120234162327840758&h=AQC60AOuLF8a7Tzxtmc,17/10/2025,23/10/2025
V3- Polka Dot Trend - Arrivals - AUS - 08.10.25,V3- Polka Dot Trend - Arrivals - AUS - 08.10.25,Average,Above average,Average,1026.31,Website purchases,35.39,80223,61283,1.30905798,1361,1.69652095,750,29,4.01124417,2124,https://www.facebook.com/?feed_demo_ad=120235410760240758&h=AQCaZ8Lb9tQHhz0opek,17/10/2025,23/10/2025
DYNCAR - ALL PROD - AUS - Frame Shipping,DYNCAR - ALL PROD - AUS - Frame Shipping,Average,Above average,Above average,1024.19,Website purchases,2.98597668,67931,14639,4.6404126,2175,3.20177828,1768,343,57.95195227,,https://www.facebook.com/?feed_demo_ad=120235056863320758&h=AQC2pCW8HjvIlwNPXXQ&force_product_ids=3067823676675179%2C3499507163507843%2C3565530890238879%2C3940388229395297%2C4087940241310502,17/10/2025,23/10/2025
DPA URL - 19.02.24,DPA URL - 19.02.24,Above average,Above average,Above average,865.2,Website purchases,3.66610169,54446,24268,2.24353058,3680,6.75899056,3475,236,44.32748497,,https://www.facebook.com/?feed_demo_ad=120217205921550758&h=AQCgpt0a84LnqVUrzGA,17/10/2025,23/10/2025
